Order ID,Product Name,Category,Price (INR),Quantity Sold,Order Date,Payment Method,Customer Rating,Region,Discount(%)
ORD00001,Educational Book,Books,49069.56,2,9/12/2024,Debit Card,3.5,East,10
ORD00002,Jeans,Clothing,12755.85,4,12/18/2024,UPI,3.9,West,15
ORD00003,Face Cream,Beauty,11092.19,4,5/18/2024,Debit Card,4.4,Central,5
ORD00004,Smartwatch,Electronics,32657.81,1,11/8/2024,Debit Card,3.2,South,5
ORD00005,Cookware Set,Home & Kitchen,26590.08,3,12/27/2024,UPI,3.1,South,10
ORD00006,Mixer Grinder,Home & Kitchen,10475.03,2,10/22/2024,Wallet,1.7,Central,15
ORD00007,Sneakers,Clothing,38647.72,3,7/4/2024,Wallet,2,South,15
ORD00008,Table Lamp,Home & Kitchen,24818.59,3,12/27/2024,Debit Card,2.4,East,5
ORD00009,Jacket,Clothing,1987.39,2,1/18/2025,Debit Card,2.6,Central,5
ORD00010,Tablet,Electronics,26876.51,2,3/14/2024,Debit Card,4,South,25
ORD00011,Perfume,Beauty,46409.57,5,2/8/2025,UPI,2.3,South,10
ORD00012,Lipstick,Beauty,48780.78,5,4/13/2024,UPI,1.3,East,5
ORD00013,Educational Book,Books,6670.82,5,2/23/2024,COD,1.2,North,15
ORD00014,Smartphone,Electronics,10826.05,1,6/2/2024,Wallet,3.7,East,10
ORD00015,Comic Book,Books,6839.1,1,9/12/2024,Credit Card,1.6,West,20
ORD00016,Mixer Grinder,Home & Kitchen,18197.89,5,3/30/2024,Debit Card,1.6,South,5
ORD00017,Cookbook,Books,20817.46,2,3/30/2024,Debit Card,2.3,North,20
ORD00018,Perfume,Beauty,44061.25,4,4/22/2024,COD,2.5,South,10
ORD00019,Cookbook,Books,4398.59,5,3/22/2024,Wallet,4,West,15
ORD00020,T-Shirt,Clothing,32565.77,5,1/6/2025,COD,4.4,Central,10
ORD00021,Cookware Set,Home & Kitchen,47529.36,1,7/9/2024,Net Banking,4.5,South,20
ORD00022,Jeans,Clothing,37129.73,3,1/22/2025,Wallet,4.3,East,20
ORD00023,Educational Book,Books,48258.19,4,6/23/2024,UPI,1.6,South,15
ORD00024,Bedsheet,Home & Kitchen,32505.96,1,3/19/2024,Wallet,2.8,East,10
ORD00025,Cookware Set,Home & Kitchen,4165.64,2,11/24/2024,COD,1.1,South,25
